year_month,revenue,orders,customers,aov,revenue_growth,order_growth
2017-02,291908.01,1780,1780,163.99326404494383,,
2017-03,449863.6,2682,2682,167.73437733035047,54.1114270896506,50.67415730337079
2017-04,417788.03,2404,2404,173.7886980033278,-7.130065646564853,-10.36539895600298
2017-05,592918.82,3700,3700,160.2483297297297,41.918575311982956,53.91014975041597
2017-06,511276.38,3245,3245,157.5582064714946,-13.769581474914217,-12.297297297297295
2017-07,592382.92,4026,4026,147.13932439145555,15.863541358980848,24.067796610169488
2017-08,674396.32,4331,4331,155.71376587393212,13.844659802142822,7.575757575757569
2017-09,727762.45,4285,4285,169.839544924154,7.913170404014069,-1.062110367120761
2017-10,779677.88,4631,4631,168.36058734614554,7.133568103163346,8.074679113185535
2017-11,1194882.8,7544,7544,158.3884941675504,53.25339228554233,62.90218095443749
2017-12,878401.48,5673,5673,154.8389705623127,-26.486390129642846,-24.801166489925762
2018-01,1115004.18,7269,7269,153.3916879900949,26.93559897007458,28.133262823902694
2018-02,992463.34,6728,6728,147.512387039239,-10.990168664659173,-7.442564314211031
2018-03,1159652.12,7211,7211,160.81710165025657,16.845839363698833,7.178953626634965
2018-04,1160785.48,6939,6939,167.28425997982418,0.09773275799296322,-3.7720149771182876
2018-05,1153982.15,6873,6873,167.90079295795138,-0.5860970969416401,-0.9511456982274069
2018-06,1023880.5,6167,6167,166.0257013134425,-11.274147524725574,-10.272079150298264
2018-07,1066540.75,6292,6292,169.50743006993008,4.166526269423043,2.0269174639208742
2018-08,1022425.32,6512,6512,157.0063452088452,-4.136309840950759,3.4965034965035002
